Date,Method,Origin,Size,Grind,Time,Output,Note,Score
20211201,Espresso,Guatamala,8,21.3,30,(30.9),Pluck’s fine; taste okay,3
20211205,Espresso,Guatamala,8,21.6,30,45.9,,3
20211208,Espresso,Guatamala,8,21.6,30,51.4,,3
20211221,Espresso,Guatamala,8,21.7,30,73,,3
20220106,Espresso,Guatamala,8,22.4,25,64,,3
,Espresso,Guatamala,8,20.4,27,100,Extraction too fast,2
20220330,Espresso,Guatamala,8,20.5,23,54.6,,3
20220402,Espresso,Guatamala,8,21,50,60,,3
20220403,Espresso,Guatamala,7,22.1,23,56.7,,3
20220405,Espresso,Guatamala,6,22.4,25,48.4,,3
20220408,Espresso,Guatamala,6,22,23,49.6,Light taste,2
20220411,Espresso,Guatamala,6,23.4,24,52,,3
20220414,Espresso,Guatamala,5,22.8,20,54.3,Bitter,1
20220418,Espresso,Guatamala,6,21.9,21,71.1,,3
20220419,Espresso,Guatamala,4,21.9,25,55,,3
20220113,Espresso,Indoesnia Sumatra,6,20,24,61.2,(E) bit sour & body okay,3
20220113,Espresso,Indoesnia Sumatra,6,21.8,30,38.8,(E) Short extraction & body too thick,2
20220113,Espresso,Indoesnia Sumatra,6,22,40,50,Looks okay,4
20220118,Espresso,Indoesnia Sumatra,6,22.3,30,44.4,,3
20220121,Espresso,Indoesnia Sumatra,6,21.4,36,46.4,,3
20220124,Espresso,Indoesnia Sumatra,6,21.8,30,56.6,,3
20220618,Espresso,Indoesnia Sumatra,6,23,24,50,Okay but little bit sour,4
20220619,Espresso,Indoesnia Sumatra,6,23,23,60,Channeled,1
20220216,Espresso,Houseblend,6,21.8,26,60,Taste light & sour,2
20220220,Espresso,Houseblend,5,21.9,40,50,Light as well (w/ skimmed milk),2
20220223,Espresso,Houseblend,4,21,53,42.2,Heavier than last,3
20220227,Espresso,Houseblend,5,21.7,44,42.8,,3
20220302,Espresso,Houseblend,6,21.8,28,55,,3
20220303,Espresso,Houseblend,7,22.1,25,45.8,Light & sour,2
20220306,Espresso,Houseblend,6,21.9,25,65.9,Light,2
20220609,Espresso,Houseblend,5,22,25,80,Okay as black,4
20220611,Espresso,Houseblend,5,23,23,68,Okay with light milk,4
20220612,Espresso,Houseblend,5,23,21,66.2,Ditto,4
20220309,Espresso,Kenya,7,21.1,34,41.8,,3
20220313,Espresso,Kenya,8,21.7,85,42.9,Sour,2
20220316,Espresso,Kenya,9,21.4,45,44.6,,3
20220320,Espresso,Kenya,10,20.9,25,46.4,Bitter,1
20220323,Espresso,Kenya,9,20.9,21,55.3,,3
20220326,Espresso,Kenya,9,2 1,22,74.1,Fair,3
20220424,Espresso,Ethiopian Yirgacheffe,6,21.5,21,70,Bit sour,2
20220427,Espresso,Ethiopian Yirgacheffe,4,21.5,30,45.8,,3
20220626,Espresso,Ethiopian Yirgacheffe,5,22,22,59.6,Okay not bad,4
20220702,Espresso,Ethiopian Yirgacheffe,4,22,20,60,Okay,4
20220717,Espresso,Fineprint Espresso Blend,6,21.4,24,45,Good,5
20220718,Espresso,Fineprint Espresso Blend,6,22,32,45.3,,3
20220723,Espresso,Fineprint Espresso Blend,6,21.1,25,46.5,Excellent,5
20220730,Espresso,Fineprint Espresso Blend,6,22.5,25,48,,3
20220731,Espresso,Fineprint Espresso Blend,6,22.6,25,48.8,,3
20220806,Espresso,Fineprint Espresso Blend,6,20.3,17,55.7,A bit bitter; increase dose next time,2
20220807,Espresso,Fineprint Espresso Blend,6,22.3,20,44,Good; nutty,5
20220809,Espresso,Fineprint Espresso Blend,6,23.5,21,49.3,,3
20220810,Espresso,Fineprint Espresso Blend,6,22.4,21,46.5,,3
20220915,Espresso,Fineprint Espresso Blend,8,22.9,39,43.3,Nutty,4
20220924,Espresso,Fineprint Espresso Blend,8,21.6,35,40,Okay,3
20220925,Espresso,Fineprint Espresso Blend,10,20.5,28,42,Bit bitter,2
20221001,Espresso,Fineprint Espresso Blend,11,21.8,27,42.7,Less ground next time,3
20221004,Espresso,Fineprint Espresso Blend,11,19.8,24,45,Okay,4
20221005,Espresso,Fineprint Espresso Blend,11,22.4,23,47.5,Okay,4
20221008,Espresso,Fineprint Espresso Blend,10,21.5,23,40.5,Okay bit sour,3
20221009,Espresso,Fineprint Espresso Blend,10,21,20,41.7,Okay,4
20221015,Espresso,Fineprint Espresso Blend,10,21.5,19,42.4,Bit bitter,2
20221016,Espresso,Fineprint Espresso Blend,11,22,16,44.9,Okay,4
20220816,Espresso,Fineprint Espresso Blend Gold,6,22,22,47.7,Sour,2
20220817,Espresso,Fineprint Espresso Blend Gold,5,22.7,20,45.4,Bit sour,2
20220822,Espresso,Fineprint Espresso Blend Gold,5,23.4,19,50,,3
20220829,Espresso,Fineprint Espresso Blend Gold,5,22,16,52.6,Bit sour,2
20220905,Espresso,Fineprint Espresso Blend Gold,8,21.9,15,60,Sour,2
20220911,Espresso,Fineprint Espresso Blend Gold,6,24.6,14,67.2,Sour,2
20220912,Espresso,Fineprint Espresso Blend Gold,7,24.2,13,52.6,,3
20221022,Espresso,Fineprint Espresso Blend Gold,10,24.8,21,52.5,Light,2
20221022,Espresso,Fineprint Espresso Blend Gold,8,23.7,21,50,,3
20221023,Espresso,Kenya,8,21.5,26,44.9,,3
20221104,Espresso,Ethiopian,8,21.5,36,41.8,Not bad; not enough flavour tho,4
20221106,Espresso,Ethiopian,9,21.6,30,42.3,Not bad,4
20221112,Espresso,Ethiopian,8,20.4,29,40.9,Quite good,5
20221126,Espresso,Ethiopian,8,20.4,30,40.9,Okay (milk changed),4
20221127,Espresso,Ethiopian,8,21,29,41.6,Okay (ditto),4
20221105,Espresso,Bali,9,21.1,23,42.9,Okay,4
20221113,Espresso,Bali,8,20.9,17,44.7,,3
20221116,Espresso,Bali,8,22.5,15,48.3,,3
20221201,Espresso,Bali,8,24,13,48,,3
20221217,Espresso,Ralph’s,10,22.7,35,45,Okay,4
20221218,Espresso,Ralph’s,12,22.3,25,47.4,Okay,4
20221224,Espresso,Ralph’s,12,22.1,29,46.4,Okay,4
20221225,Espresso,Ralph’s,12,22,24,43.4,Good,5
20221231,Espresso,Ralph’s,12,22,24,46.4,Good,5
20230102,Espresso,Ralph’s,12,22.5,23,47.9,Good,5
20230125,Espresso,Ralph’s,12,22,16,49.7,,3
20230114,Espresso,Bluestone Lane Maverick,12,22.2,22,44.7,Not bad,4
20230211,Espresso,Bluestone Lane Maverick,12,21.6,23,46？,Bit smoky,3
20230211,Espresso,Bluestone Lane Maverick,12,22,25,46.3,Bit bitter,2
20230217,Espresso,Bluestone Lane Maverick,13,22.9,19,44,Not bad,4
20230514,Espresso,Bluestone Lane Maverick,13,24.6,13,51.9,Okay,4
20230518,Espresso,Bluestone Lane Maverick,12,22.6,13,53.6,Okay,4
20230129,Espresso,Bluestone Lane Baystone,12,21.9,26,43.8,Good,5
20230206,Espresso,Bluestone Lane Baystone,12,22.2,20,49.5,Good,5
20230206,Espresso,Bluestone Lane Baystone,12,22,21,42.8,Good,5
20230218,Espresso,Bluestone Lane Baystone,12,22.1,20,45.1,Good,5
20230319,Espresso,Bluestone Lane Baystone,12,22.5,24,47.2,Good,5
20230324,Espresso,Bluestone Lane Baystone,12,22.9,24,45,Good,5
20230416,Espresso,Bluestone Lane Baystone,12,22.4,24,107,Okay,4
20230423,Espresso,Bluestone Lane Baystone,12,22.3,17,75.9,,3
20230131,Espresso,Bali,12,25.9,25,50.5,Good; more flavour,5
20230222,Espresso,Bali,12,22.1,18,51.4,Good,5
20230225,Espresso,Bali,12,22.3,18,48.4,,3
20230508,Espresso,Bali,8,23.3,14,56.3,,3
20230520,Espresso,Stumptown,12,22.3,16,41.7,Good,5
20230521,Espresso,Stumptown,12,24.5,19,50,Okay,4
20230601,Espresso,Stumptown,11,24.2,19,59.7,Flavours,4
20230608,Espresso,Stumptown,11,23.1,17,54,Good,5
20230609,Espresso,Stumptown,11,23.4,18,49,Good,5
20230610,Espresso,Stumptown,11,23.9,17,50,Good,5
20230613,Espresso,Stumptown,11,24.1,18,51.4,Okay,4
20230616,Espresso,Stumptown,11,24.2,18,51.3,Good,5
20230618,Espresso,Stumptown,11,24,17,55,Good,5
20230621,Espresso,Stumptown,11,24.9,15,55,,3
20230622,Espresso,Kaldi Premium,11,24,16,70,Not bad,4
20230623,Espresso,Kaldi Premium,11,24,17,50.6,Good,5
20230630,Espresso,Kaldi Premium,11,24,15,52.4,Okay,4
20231207,Espresso,Guatamala,12,24.2,18,48.1,Okay,4
20231210,Espresso,Guatamala,11,24,20,50,Good,5
20231212,Espresso,Guatamala,11,24,23,48.9,Good,5
20231214,Espresso,Guatamala,11,24.5,26,50.7,Good,5
20231217,Espresso,Guatamala,11,24,22,50,Good,5
20231218,Espresso,Guatamala,11,23.9,18,50.5,Good,5
20231220,Espresso,Guatamala,11,23.7,20,46.1,Good,5
20231224,Espresso,Guatamala,11,24.2,20,50.9,,3
20240214,Espresso,Guatamala,11,24.7,21,52.4,,3
20240114,Espresso,Angelo Blue,11,23.6,15,52,Good,5
20240116,Espresso,Angelo Blue,11,23.8,23,51,Good,5
20240118,Espresso,Angelo Blue,11,23.9,26,49.7,Okay,4
20240123,Espresso,Angelo Blue,11,23.3,24,48,Okay,4
20240124,Espresso,Angelo Blue,11,23,25,48.1,Light,2
20240318,Espresso,Yahara El Salvador,11,23.7,23,45.8,Okay,4
20240321,Espresso,Yahara El Salvador,11,21.6,16,44.3,Okay,4
20240323,Espresso,Yahara El Salvador,11,22.4,20,51,Good,5
20220209,Filter,Houseblend,50,16.5,225,264,,3
20220213,Filter,Houseblend,50,15.4,160,220,,3
20220213,Filter,Houseblend,50,15.2,160,220,,3
20220518,Filter,Houseblend,50,16,150,260,Not enough flavour,2
20220525,Filter,Houseblend,50,16.2,150,250,Sour,2
20220529,Filter,Houseblend,48,16,180,240,A bit bitter; try coarser next,1
20220319,Filter,Kenya,51,16.5,225,264,,3
20220509,Filter,Ethiopian Yirgacheffe,51,16.2,180,264,,3
20220614,Filter,Indoesnia Sumatra,51,15,135,200,Bit sour,2
20220917,Filter,Fineprint Baroida Estate,54,17,192,213,Sour,2
20221031,Filter,Fineprint Espresso Blend Gold,57,16.7,240,225,Okay,4
20221031,Filter,Kenya,54,16.9,191,245,Not bad,4
20221110,Filter,Kenya,54,16.6,180,248,Not bad,4
20221110,Filter,Kenya,54,16,180,240,Okay,4
20221119,Filter,Kenya,54,16.8,200,245,Not bad,4
20221119,Filter,Kenya,54,17.8,190,251,Not bad,4
20221120,Filter,Kenya,54,16.3,185,242,,3
20221120,Filter,Kenya,55,16.4,190,247,,3
20221203,Filter,Livdiff,54,16.5,180,247,Not bad,4
20221204,Filter,Ethiopian,54,16,180,235,Not bad,4
20230212,Filter,Ralph’s,54,16.1,180,242,,3
20230212,Filter,Bluestone Lane Baystone,54,16.7,165,243,,3
20230410,Filter,Bluestone Lane Baystone,54,16.6,144,240,Not bad,4
20230415,Filter,Bluestone Lane Baystone,54,16.7,146,240,Bit bitter,2
20230330,Filter,Bali,54,16.5,150,240,Flavour of wine,4
20230409,Filter,Bali,54,16.6,170,240,,3
20230415,Filter,Bali,54,17.1,135,241,Good,5
20230607,Filter,Stumptown,54,17.3,154,260,,3
20240127,Filter,Angelo Blue,54,16.5,150,245,Okay,4
20240130,Filter,Angelo Blue,53,16.7,130,247,,3
20240224,Filter,Blacklist Accent,54,16.7,135,247,Flavours but a bit bitter,3
20240310,Filter,Yahara El Salvador,53,16.5,145,245,,3
20240313,Filter,Yahara El Salvador,53,16.5,150,247,Strong flavour,4